method,seed,bytes_per_embedding,compression,recall_at_10,ndcg_at_10,ms_per_query,codebook_kb
SERA-VQ-96-24B,42,24,64.0,0.6903333333333334,0.5287158957214022,0.03771221999992728,2304.0
SERA-VQ-96-24B,123,24,64.0,0.67,0.516681823968049,0.0393181966666134,2304.0
SERA-VQ-96-24B,456,24,64.0,0.6675555555555555,0.516747587370788,0.0377952766668462,2304.0
PQ-96-24B,42,24,64.0,0.7005555555555556,0.5419017736397639,0.03956889000013083,96.0
PQ-96-24B,123,24,64.0,0.6843333333333332,0.5421938921646849,0.038571529999937106,96.0
PQ-96-24B,456,24,64.0,0.6686666666666667,0.5314821840259321,0.03891138999999081,96.0
SERA-VQ-96-32B,42,32,48.0,0.7053333333333334,0.559875292799827,0.037489303333397096,3072.0
SERA-VQ-96-32B,123,32,48.0,0.7027777777777778,0.5545293470180043,0.038752359999989494,3072.0
SERA-VQ-96-32B,456,32,48.0,0.7058888888888888,0.5487949519907732,0.03775625000002947,3072.0
PQ-96-32B,42,32,48.0,0.7198888888888889,0.5766632998793952,0.03933763666661131,96.0
PQ-96-32B,123,32,48.0,0.7433333333333333,0.584639298924194,0.03804111333333064,96.0
PQ-96-32B,456,32,48.0,0.7326666666666667,0.5780302869073082,0.0385454166666932,96.0
SERA-VQ-128-8B,42,8,192.0,0.4126111111111111,0.27650566190794884,0.040420416666696234,1024.0
SERA-VQ-128-8B,123,8,192.0,0.39266666666666666,0.2854744260949136,0.039078750000006345,1024.0
SERA-VQ-128-8B,456,8,192.0,0.44177777777777777,0.3046522807403564,0.03836430666675976,1024.0
PQ-128-8B,42,8,192.0,0.3891111111111111,0.2564597002066971,0.04082680666670058,128.0
PQ-128-8B,123,8,192.0,0.36088888888888887,0.2560060310908179,0.039753613333459725,128.0
PQ-128-8B,456,8,192.0,0.4003888888888889,0.2476198121219872,0.03943485999987691,128.0
SERA-VQ-128-16B,42,16,96.0,0.5626666666666668,0.3989401580197754,0.03891235999996449,2048.0
SERA-VQ-128-16B,123,16,96.0,0.5966666666666667,0.4141828075984687,0.038980000000113556,2048.0
SERA-VQ-128-16B,456,16,96.0,0.5943888888888889,0.4385458580962332,0.03866888999993989,2048.0
PQ-128-16B,42,16,96.0,0.6142222222222222,0.4413248445676586,0.03975611333335867,128.0
PQ-128-16B,123,16,96.0,0.5837222222222223,0.4246938718766699,0.03900722333317693,128.0
PQ-128-16B,456,16,96.0,0.6069444444444445,0.4547810422472846,0.03886805666676689,128.0
SERA-VQ-128-24B,42,24,64.0,0.6808888888888889,0.5030168251271283,0.039138473333461356,3072.0
SERA-VQ-128-24B,123,24,64.0,0.6487777777777778,0.5023268369296006,0.03825791666675589,3072.0
SERA-VQ-128-24B,456,24,64.0,0.6636666666666666,0.507382307485565,0.03964375000009568,3072.0
SERA-VQ-128-32B,42,32,48.0,0.714888888888889,0.5492854422882122,0.03901805666676713,4096.0
SERA-VQ-128-32B,123,32,48.0,0.6897777777777778,0.5381338291793347,0.03796333333336103,4096.0
SERA-VQ-128-32B,456,32,48.0,0.6987777777777777,0.5420971569524897,0.03922680666657167,4096.0
PQ-128-32B,42,32,48.0,0.7182222222222223,0.5700002586743469,0.03956083333340151,128.0
PQ-128-32B,123,32,48.0,0.7071111111111111,0.5645342886086188,0.0381190266663604,128.0
PQ-128-32B,456,32,48.0,0.722111111111111,0.5680465320638242,0.038290693333541036,128.0
